"tweet","senti"
"@united Oh, we are sure it's not planned, but it occurs absolutely consistently, it's usually the only YYJ flight that's Cancelled Flightled daily.",0
"History exam studying ugh",0
"@unnitallman yeah looks like that only! &quot;busy&quot; is fucking me so yeah.. its my &quot;GF&quot; ",0
"Loves twitter",4
"@Mbjthegreat i really dont want AT&amp;T phone service..they suck when it comes to having a signal",0
"I donâ€™t want either! RT @clayhebert: We might get pilotless planes before driverless cars - http://t.co/y4YOxaqI",0
"Super cool: ""@google: The next stop on the road to a self-driving car http://t.co/x4rem8zeKy http://t.co/UPdUUaTTb6""",4
"Aw fuck - this night ended badly ",0
"Ok so lots of buzz from IO2009 but how lucky are they - a Free G2!! http://is.gd/Hyzl",4
"got a new pair of nike shoes. pics up later",2
" Hey any chance you have an update on Flight 99 Hartford to D.C.?",2
"Learning jQuery 1.3 Book Review - http://cfbloggers.org/?c=30629",2
"@kirstiealley my dentist is great but she's expensive...=(",0
"loves chocolate milk  and that is GF YEAH..",4
"@BittenbyBooks Oh good!  I'm glad you're feeling better!   I've been really good!  It'll be a crazy week though... In a good way! ",4
"Apples not even barely doing anything a couple features here and there google has got self driving car Google glass google tango project ara",2
"@SophieVeronica today was rad. we made it into the finals for cross country YAY. love you sophie &lt;3 (L) ps everythins cool with my mates ",4
" now I'm happy ",4
"Night at the Museum, Wolverine and junk food - perfect monday!",4
"I say we just cut out the small talk: AT&amp;T's new slogan: F__k you, give us your money. (Apologies to Bob Geldof.)",0
"@united your SFO-YYJ fight is Cancelled Flightled several times each week, why even bother?",0
"Back when I worked for Nike we had one fav word : JUST DO IT! :)",4
": #DeflateGate #Ballghazi #BallGate All Tom Brady and Belichick have to do is say they are long time democrats and base …",2
"could time-warner cable suck more?  NO.",0
"â€œ@FacesPics: Google's new self-driving car http://t.co/qymxdTW1D9â€ I watched something on this earlier HOLY CRAP",4
"@united 1.75 hour delay.  Nothing says sorry like a voucher.  Missing time with family.  #family #precioustime",0
"@blackbarbie027 my entire college. They fucking lost my transcript now I can't attend in the Summer to catch up w/ my credits ",0
"I love my Kindle2. No more stacks of books to trip over on the way to the loo.",4
"RT Look, Available !Amazon Kindle2 &amp; Kindle DX, Get it Here: http://short.to/87ub The Top Electronic Book Reader Period, free 2 day ship ...",2
"Time Warner Cable Pulls the Plug on 'The Girlfriend Experience' - (www.tinyurl.com/m595fk)",2
"Leavin for shauns. fuck grandparents get around slow. text me or tweet me. @Ariannagrace321 you stopped textin me ",0
"We already have self driving cars on the road. They're just waiting for the ok by the government for the software to be activated.",2
"@ruby_gem My primary debit card is Visa Electron.",2
"New post on my blog: Got new cases. :)    #slc #citycreek #apple #applestore #red #pr... /S4XRRXR8uq",2
"@petewentz @petewentz fuck  I wish I was in Houston. Shawn Connery, Peirce bronson, timothy dalton, roger Moore. And that's all I know",0
"city all day soo happy to be home. school in the morning ",4
"@foxnews Pelosi should stay in China and never come back.",0
"Time Warner's HD line up is crap.",0
"@lhawthorn What a coincidence! I was just stalking your Twitter feed and the GSoC news. ;) I'm doing great, thanks. How about you? ",4
"@Dommm did comcast fail again??",0
"@warp I love that Aussie cattle dog story ",4
"@KnightOwl89 Sounds good,  I wish i could have done it but I'm determined to find them in the park. They better be in there!",4
"@united can I just go ahead and live in your premium cabins? I'm in heaven now en route to LHR",4
"Fuck no internet damn time warner!",0
"So google has a driver-less car? They can take the steering wheel away from my cold, dead hands before i buy one.",0
"using Linux and loving it - so much nicer than windows... Looking forward to using the wysiwyg latex editor!",4
"Asthma fucking BLOWS  Can't wait till I finish up Asmanex treatments. Follow up (and hopefully final) apt w/ pulmonologist is this week.",0
" when I click that link it wants my flight info. I haven't booked a flight yet. I read you waive fees for military, it this true?",2
"Watching Lebron highlights. Damn that niggas good",4
"My Dell Laptop's battery is fucked up! ",0
"@united thanks for the re-upgrade to 1st class. It may be a 45 min flight, but it is appreciated.",4
"What is this I am hearing about driverless cars coming out? Da fuck? Are people that lazy, that just seems dangerous as all hell.",0
"@JessicaRayburn I accidentally stepped on my Power Strip off button and now my internets are fucked up DAMMIT ",0
" I sent the message. Let me know ASAP.",2
"Reading my kindle2...  Love it... Lee childs is good read.",4
"Video of the first user of @Google 's self driving car (lost 95% of his vision - well past legally blind) http://t.co/wk6qeQIF #amazing",4
"I've been in the car for 12 hours  No fucking joke we went to santa cruz for 30 mins then had to go. Hella ghey.",0
"Having the old Coca-Cola guy on the GM board is stupid has heck! #tcot #ala",0
"Jake's going to safeway!",2
"@JonathanRKnight Glad to hear that you had such a great night! You rock &amp; I hope tonight is just the 1st of many feel good shows for you! ",4
"@united sorry to hear outsourcing plan. Boise is best staff/cust service in the country. #boise",4
"Send us your GM/Chevy photos http://tinyurl.com/luzkpq",2
"saw the new Night at the Museum and i loved it. Next is to go see UP in 3D",4
"Lyx is cool.",4
"Cox or Time Warner?  Cox is cheaper and gets a B on dslreports.  TW is more expensive and gets a C.",0
"Oh my fucking god my stomach is growling ",0
"I mean, I'm down with Notre Dame if I have to.  It's a good school, I'd be closer to Dan, I'd enjoy it.",4
"I have to go to Booz Allen Hamilton for a 2hr meeting :(  But then i get to go home :)",0
"@FastCoDesign I am so excited for this! Come on self-driving cars.",4
"Taking Katie to see Night at the Museum.  (she picked it)",2
"just got back from church, and I totally hate insects.",0
"Obama More Popular Than U.S. Among Arabs: Survey: President Barack Obama's popularity in leading Arab countries .. http://tinyurl.com/prlvqu",4
"Self-Driving Car Test: Steve Mahan this is amazing. #Google http://t.co/DtYD3PF9ZG",4
"Nike SB Blazer High ""ACG"" Custom - Brad Douglas - http://timesurl.at/45a448",2
"I'm not high anymore and some stinky guy with a mail order bride is pissing me the fuck off.. ",0
"Saved money by opting for grocery store trip and stocking food in hotel room fridge vs. eating out every night while out of town.",2
"@sportsguy33 Ummm, having some Time Warner problems?",0
"Why is it that someday you look nearly good and the next day you look totally fucked up? Today is the next day ",0
"Oh, look. It's acutally one of the Google self driving cars on the freeway.   880 North /ExLJcptl",2
"and I broke a fucking nail. ",0
", flights 1970, 1366, and 1552 will fly over after 1 am on your way into  - mind taking ocean approach so we can sleep?",2
"lebron and zydrunas are such an awesome duo",4
"Total believe it @mashable: Google's Driverless Car Is Now Safer Than the Average Driver - http://t.co/gF125DA3",4
"Saw the  car just outside of Barnwell, #Alberta in #Taber ðŸ˜€ half hour east of #Lethbridge",2
"Arg. Twitter API is making me crazy.",0
"Ask Programming: LaTeX or InDesign?: submitted by calcio1 [link] [1 comment] http://tinyurl.com/myfmf7",2
"ShaunWoo hate'n on AiG",0
"RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR",4
"@cwong08 I have a Kindle2 (&amp; Sony PRS-500). Like it! Physical device feels good. Font is nice. Pg turns are snappy enuf. UI a little klunky.",4
"@jenniferdaniel: As someone who never learned how to drive I welcome our google car overlords.",4
"Can we just go ahead and blow North Korea off the map already?",0
"Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus.",0
"Imagine a world where 's self driving car merges with  and ? #itscoming #codecon",2
"â€œ: Di Caro uses the last question to ask about driverless cars. #Mocotranspoâ€ wild card question.",2
"@united Just did, thanks for checking! :)",4
"@jktweet Hi! Just saw your Stanford talk and really liked your advice. Just saying Hi from Singapore (yes the videos do get around)",4
"I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good...",0
"well imessage doesn't work thanks @apple",0
"Recovering from surgery..wishing @julesrenner was here :(",0
"@asherroth World Cup 2010 Access?? Damn, that's a good look!",4
"@united switched to fly united from delta for the past two trips and was very disappointed. Now my UA4646 on 2/23 is delayed by 3 hours!!",0
"playing with Java and the Twitter API",2
"@kirstiealley Pet Dentist http://www.funnyville.com/fv/pictures/dogdentures.shtml",2
"http://xi.gs/04FO GM CEO: China will continue to be key partner",2
"@united 
I will admit, you've been rather good to me over the years.
You've still got me hooked.
(for now!)
Peace.",4
"@dorkas426 i totally took the change of scenery. it was great. ",4
"@united Thanks for the timely service &amp; great staff getting my wife and me to and from Cancun this past week for our honeymoon.",4
"@united I appreciate the follow up.",4
"@united @FlyANA_official pleasantly surprised to find ANA has made major upgrades on their transpacific route in flights, planes and service",4
"@KarrisFoxy If you're being harassed by calls about your car warranty, changing your number won't fix that. They call every number. #d-bags",0
"fucken a man lol. tiring night at work. hope to get this job! for got bout the hills  dang nabbit lol.. ",0
"Give a man a fish, u feed him for the day. Teach him to fish, u feed him for life. Buy him GM, and u F**K him over for good.",0
"Google Wave Developer Sandbox Account Request http://bit.ly/2NYlc",2
"@vkerkez dood I got a free google android phone at the I/O conference. The G2!",4
"Just saw Sunshine Cleaning. I love Amy Adams ",4
"ugh i need to renew the fucking restraining order.  help.",0
"@tweeterdiva I only have one for now... I'd love to have a herd someday! ",4
"@anna_debenham what was the php jquery hack?",2
"It's a bank holiday, yet I'm only out of work now. Exam season sucks:(",0
"@CharlesJMeyer @Apple @Appy_Geek Hasn't Apple been doing this for decades? This is why I don't support Apple. #apple #deletegame",0
"bonjour San Francisco. My back hurts from last night..",0
"Google car just drove by.... Hopefully they got me flipping them off!",0
"@Pittstock $GM good riddance.  sad though.",0
": Didn't expect to be on the radio this morning discussing the #Coachella2015 lineup! Thx   #KWSS",2
"Driverless golf carts /CgRoUETWWc",2
"Star Trek was as good as everyone said!!",4
"Guess I'll be retiring my G1 and start using my developer G2 woot #googleio",4
"RT @sportsguy33 The upside to Time Warner: unhelpful phone operators   superslow on-site service. Crap, that's not an upside.",0
"Highly recommend: http://tinyurl.com/HowDavidBeatsGoliath by Malcolm Gladwell",4
