"tweet","senti"
"@united UA5396 can wait for me. I'm on the ground trying to get to the gate after we were moved to B. This is crap.",0
"I hate Time Warner! Soooo wish I had Vios. Cant watch the fricken Mets game w/o buffering. I feel like im watching free internet porn.",0
"Tom Shanahan's latest column on SDSU and its NCAA Baseball Regional appearance: http://ow.ly/axhu",2
"Found the self driving car!! /IWo3QSvdu2",2
"@united arrived in YYZ to take our flight to Taiwan. Reservation missing our ticket numbers. Slow agent Sukhdeep caused us to miss our flt.",0
"Driverless cars ? What's the point ?",0
"how can you not love Obama? he makes jokes about himself.",4
"Safeway is very rock n roll tonight",4
"RT @jquery: The Ultimate jQuery List - http://jquerylist.com/",2
"I saw Night at the Museum: Battle of the Swithsonian today. It was okay. Your typical [kids] Ben Stiller movie.",2
" Missed this. each is 'newer generation'. I'd start w allegra then go claritin then zyrtec. I don't envy you!",2
"is being fucked by time warner cable. didnt know modems could explode. and Susan Boyle sucks too!",0
"I hope the girl at work  buys my Kindle2",2
"@aparajuli good luck to you ",4
"needs someone to explain lambda calculus to him! :(",0
"@united Thank you Margo at Houston's Bush Intercontinental for getting me home earlier.",4
"@ontheMAPP DITTO! not as good as the Nirvana Sandwiches ",4
"waiting in line at safeway.",2
"OMG, I would have died!!! actually no, I take that back...I keep an updated version on my X:drive so it's all good ",4
"There's a google self-driving car parked next to me. Shall I ask for a ride?",2
"#MBA Admissions Tips Stanford GSB Deadlines and Essay Topics 2009-2010 http://tinyurl.com/pet4fd",2
"am loving new malcolm gladwell book - outliers",4
"Goodby, Silverstein's new site... http://www.goodbysilverstein.com/ I enjoy it.",4
"12 Gift Ideas For The Apple Lover Who Has Everything /0RTcyLOsAD  #technology",2
"So the #Coachella2015 diet begins /Pm0vK2fBG5",2
"New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo",2
"whoever is running time warner needs to be repeatedly raped by a rhino so they understand the consequences of putting out shitty cable svcs",0
"@DonnieWahlberg I can tell u have spoken. FB &amp; Twitter are on Fire right now!!  Hope ur feelin better love.  have a great night...",4
"Three China aerospace giants develop Tianjin Binhai  New Area,  22.9 B yuan invested   http://bit.ly/mMiDv",2
"Ok, first assesment of the #kindle2 ...it fucking rocks!!!",4
"heyy loves!! just finished my record in the studio!! going to kick it with lauren c.!!  byee!! &lt;3",4
"@united well it IS John Hughes' birthday. But I will stick w the plane &amp; hold off on trains &amp; automobiles. Gate workers are doing well.",4
"I loved today ",4
"RT @WaterSISWEB: CA Merced's water bottled by Safeway, resold at a profit: Wells are drying up across the county http://tinyurl.com/mb573s",2
"  we don't have much data on IND balls, but likely started at higher PSI / lower tmp than pats balls. #DeflateGate",2
"fucking faggots @apple",0
"Fine-tuning part of a song Maddy and I r making.  Sounding good. I feel pro. Not. Hahaha",4
"@amp451 good night  sweet dreamz",4
"@amazingphoebe mmh, you are stupid sometimes, but not as much as me, for i am the stupid, fucked up, retarded one in our relationship ",0
" they do its called Google car",2
"playing with cURL and the Twitter API",2
"@the_real_usher LeBron is cool.  I like his personality...he has good character.",4
"fucking Google car in hiawatha!",0
"First dentist appointment [in years] on Wednesday possibly.",2
"this hockey band look like mgmt+3, but fucking hell they're good. sabrepulse come back too ",0
